id_lokasi;kode_node;nama_lokasi;latitude;longitude;volume;jenis
192;tps_192;jalan mayor abdullah zainuddin;-4.016337;119.620985;55;TPS
193;tps_193;jalan mayor abdullah zainuddin;-4.015125;119.620481;60;TPS
194;tps_194;jalan abdul kadir;-4.015896;119.622331;84;TPS
195;tps_195;jalan abdul kadir;-4.015955;119.621535;76;TPS
196;tps_196;jalan andi cammi;-4.015866;119.621336;59;TPS
197;tps_197;jalan bau massepe;-4.015668;119.622396;52;TPS
198;tps_198;jalan bau massepe;-4.014796;119.622149;83;TPS
199;tps_199;jalan usman isa;-4.014647;119.62204;56;TPS
200;tps_200;jalan usman isa;-4.014712;119.621145;44;TPS
201;tps_201;jalan pancasila utara;-4.013177;119.625972;36;TPS
202;tps_202;jalan andi mallarangeng 4;-4.014365;119.625211;31;TPS
203;tps_203;jalan pancasila selatan ;-4.014815;119.625764;58;TPS
204;tps_204;jalan lanu' mang 18-8;-4.015416;119.624654;52;TPS
205;tps_205;jalan lanu' mang 28;-4.015512;119.624954;100;TPS
206;tps_206;jalan panorama;-4.015108;119.626351;81;TPS
207;tps_207;jalan panorama timur;-4.014966;119.626764;77;TPS
208;tps_208;jalan panorama timur 24-4;-4.014387;119.626948;100;TPS
209;tps_209;jalan lasiming;-4.014163;119.626388;34;TPS
210;tps_210;jalan lasiming;-4.013774;119.626811;44;TPS
